Hidden Layers,Activation Function,Learning Rate,Epochs,Batch Size,Accuracy
[4],Tanh,0.1,50,128,1.0
[4],Tanh,0.1,50,256,1.0
[4],Tanh,0.1,50,512,0.9722222222222222
[4],Tanh,0.1,100,16,0.9722222222222222
[4],Tanh,0.1,100,32,0.9722222222222222
[4],Tanh,0.1,100,64,0.9722222222222222
[4],Tanh,0.1,100,128,1.0
[4],Tanh,0.1,100,256,0.9722222222222222
[4],Tanh,0.1,100,512,0.9722222222222222
[4],Tanh,0.1,250,16,0.9722222222222222
[4],Tanh,0.1,250,32,0.9722222222222222
[4],Tanh,0.1,250,64,0.9722222222222222
[4],Tanh,0.1,250,128,0.9722222222222222
[4],Tanh,0.1,250,256,0.9722222222222222
[4],Tanh,0.1,250,512,1.0
[4],Tanh,0.01,1,16,0.08333333333333333
[4],Tanh,0.01,1,32,0.19444444444444445
[4],Tanh,0.01,1,64,0.2777777777777778
